CRASH_ID,CRASH_DATETIME,ROUTE,MILEPOINT,LAT_UTM_Y,LONG_UTM_X,MAIN_ROAD_NAME,CITY,COUNTY_NAME,CRASH_SEVERITY_ID,WORK_ZONE_RELATED,PEDESTRIAN_INVOLVED,BICYCLIST_INVOLVED,MOTORCYCLE_INVOLVED,IMPROPER_RESTRAINT,UNRESTRAINED,DUI,INTERSECTION_RELATED,WILD_ANIMAL_RELATED,DOMESTIC_ANIMAL_RELATED,OVERTURN_ROLLOVER,COMMERCIAL_MOTOR_VEH_INVOLVED,TEENAGE_DRIVER_INVOLVED,OLDER_DRIVER_INVOLVED,NIGHT_DARK_CONDITION,SINGLE_VEHICLE,DISTRACTED_DRIVING,DROWSY_DRIVING,ROADWAY_DEPARTURE
10816207,2016-01-19T01:55:00.000000+0000,84,26.1,4630950.431000001,382127.0257,I-84,HOWELL,BOX ELDER,1,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,true,false,false,false
10840901,2016-04-16T13:52:00.000000+0000,13,20.033,4618234.162999999,404978.0983,SR-13 AND ABOUT 170 S,TREMONTON,BOX ELDER,2,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,true,false,false
10827652,2016-03-13T06:11:00.000000+0000,32815,0.1,4621212.948000001,403106.0584,200 W,GARLAND,BOX ELDER,4,false,false,false,false,false,true,true,false,false,false,false,false,false,false,true,true,false,false,true
10827661,2016-03-06T15:25:00.000000+0000,84,10.1,4644740.276000001,362217.2888,I-84,OUTSIDE CITY LIMITS,BOX ELDER,1,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,true
10832676,2016-03-21T21:48:00.000000+0000,15,380.1,4618468.0,400811.0,I-15,TREMONTON,BOX ELDER,1,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false
10819120,2016-01-29T20:54:00.000000+0000,84,25.5,4631737.8209999995,381577.109,I-84,OUTSIDE CITY LIMITS,BOX ELDER,1,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,true,false,false,true
10832347,2016-03-28T20:28:00.000000+0000,102,15.84,4618409.527,402303.48530000006,600 W MAIN,TREMONTON,BOX ELDER,2,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false
10842845,2016-04-29T12:25:00.000000+0000,84,41.05,4618197.337,399938.34109999996,I-84,TREMONTON,BOX ELDER,1,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,true,false,false
10842849,2016-04-30T21:00:00.000000+0000,15,376.894212,4615210.0,404523.0,I-15,ELWOOD,BOX ELDER,1,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,true,false,false,false
10842850,2016-04-30T08:20:00.000000+0000,84,0.1,4651243.693999999,348287.6605,I-84,OUTSIDE CITY LIMITS,BOX ELDER,1,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false
